**质量工程师岗位职责**

本企业严格遵照三峡集团及水利工程供应链项目质量管理要求，配置持证上岗的质量工程师，全面负责从原材料入厂到成品交付全过程的质量监督、检验与整改闭环管理。质量工程师岗位职责如下：

| 序号 | 岗位职责内容 | 具体执行要求 |
|------|--------------|---------------|
| 1 | 持证上岗，具备国家认证的质量管理体系内审员或中级以上质量工程师资格证书 | 所有质量工程师须持有有效期内的《质量工程师职业资格证书》或《ISO9001内审员证书》，并在企业备案登记，确保专业能力符合招标文件对“持证上岗”的强制性要求。 |
| 2 | 参与采购物料验收、过程检验、最终出厂检验全过程质量控制 | 依据《来料检验规程》《过程检验作业指导书》《成品检验规范》开展逐项核查，记录完整可追溯，异常情况第一时间上报并推动处置。 |
| 3 | 负责关键工序质量控制点设置与过程巡检 | 根据工艺流程图和FMEA分析结果，识别并设立不少于8个关键质量控制点（如涡片热处理硬度、螺母扭矩测试、紧固件防松性能等），每日至少巡检两次，形成《过程质量巡检记录表》。 |
| 4 | 主导质量问题分析与整改闭环管理 | 对生产中出现的不合格品，组织技术、工艺、制造部门召开质量分析会，制定纠正预防措施，明确责任人与完成时限，跟踪验证效果，确保问题不重复发生，并在5个工作日内提交《质量问题闭环报告》。 |
| 5 | 配合第三方检测机构完成抽检与型式试验 | 协助完成委托检测任务，提供原始数据、样品编号及现场见证记录，确保检测结果真实、合规，满足GB/T 19001-2016/ISO 9001标准要求。 |
| 6 | 建立并维护质量信息台账，实现全过程留痕 | 使用企业内网质量管理系统录入每批次产品的检验状态、偏差记录、返工处理等情况，保证数据实时更新、权限可控、历史可查，支撑审计与追溯需求。 |
| 7 | 参与客户现场服务中的质量反馈处理 | 在设备安装调试阶段，配合项目经理收集用户意见，快速响应质量问题，出具《现场质量反馈处理单》，确保整改闭环率100%，提升满意度评分不低于95分。 |

上述职责已纳入企业年度绩效考核体系，由质量部统一考核，连续三个月未达标者将暂停岗位任职资格，直至重新培训并通过评估后方可恢复履职。该岗位人员配备充足，现有注册质量工程师4人，均具备5年以上水利装备制造行业经验，完全满足本项目多品种、大批量金属结构件及配套加工件的质量管控需求。
